entry,requirement,ground_truth
228,Set the native VLAN to 99 on Port-channel 1 on both SW1 and SW2.,"SW1# configure terminal
SW1(config)# interface Port-channel1
SW1(config-if)# switchport trunk native vlan 99
SW1(config-if)# end

SW2# configure terminal
SW2(config)# interface Port-channel1
SW2(config-if)# switchport trunk native vlan 99
SW2(config-if)# end"
229,"Configure a Layer 3 EtherChannel on R1 using Ethernet0/1 and Ethernet0/2: remove switchport, create Port-channel 2, and assign IP 10.0.99.1/30.","R1# configure terminal
R1(config)# interface range Ethernet0/1 - 2
R1(config-if-range)# no switchport
R1(config-if-range)# channel-group 2 mode active
R1(config-if-range)# exit
R1(config)# interface Port-channel2
R1(config-if)# no switchport
R1(config-if)# ip address 10.0.99.1 255.255.255.252
R1(config-if)# end"
230,"Assign the IP address 10.0.99.2/30 to Port-channel 2 on R2, which is configured as a Layer 3 EtherChannel.","R2# configure terminal
R2(config)# interface range Ethernet0/0 - 1
R2(config-if-range)# no switchport
R2(config-if-range)# channel-group 2 mode active
R2(config-if-range)# exit
R2(config)# interface Port-channel2
R2(config-if)# no switchport
R2(config-if)# ip address 10.0.99.2 255.255.255.252
R2(config-if)# end"
231,Shut down the physical interfaces Fa0/1 and Fa0/2 on SW1 before modifying the EtherChannel configuration.,"SW1# configure terminal
SW1(config)# interface range Fa0/1 - 2
SW1(config-if-range)# shutdown
SW1(config-if-range)# end"
232,Remove the EtherChannel Port-channel 1 from SW2 and reset Fa0/1 and Fa0/2 to their default configuration.,"SW2# configure terminal
SW2(config)# no interface Port-channel1
SW2(config)# interface range Fa0/1 - 2
SW2(config-if-range)# no channel-group
SW2(config-if-range)# switchport mode access
SW2(config-if-range)# no shutdown
SW2(config-if-range)# end"
233,Enable LLDP globally on R1.,"R1# configure terminal
R1(config)# lldp run
R1(config)# end"
234,Enable LLDP transmit and receive on R2's interface connecting to R3.,"R2# configure terminal
R2(config)# interface Ethernet0/1
R2(config-if)# lldp transmit
R2(config-if)# lldp receive
R2(config-if)# end"
235,Disable LLDP on R1's interface facing SW1 to prevent neighbor discovery on the access segment.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# no lldp transmit
R1(config-if)# no lldp receive
R1(config-if)# end"
236,Enable LLDP globally on R3 and disable CDP on the same router so that only LLDP is used for neighbor discovery.,"R3# configure terminal
R3(config)# lldp run
R3(config)# no cdp run
R3(config)# end"
237,Configure HSRP group 1 on R1's interface facing SW1 with virtual IP 10.0.1.254.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# standby 1 ip 10.0.1.254
R1(config-if)# end"
238,Configure HSRP group 1 on R2's interface facing SW1 with the same virtual IP 10.0.1.254.,"R2# configure terminal
R2(config)# interface Ethernet0/0
R2(config-if)# standby 1 ip 10.0.1.254
R2(config-if)# end"
239,Set the HSRP group 1 virtual IP to 10.0.1.254 on both R1 and R2 so the hosts in 10.0.1.0/24 use a redundant gateway.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# standby 1 ip 10.0.1.254
R1(config-if)# end

R2# configure terminal
R2(config)# interface Ethernet0/0
R2(config-if)# standby 1 ip 10.0.1.254
R2(config-if)# end"
240,"Set HSRP priority to 110 on R1 and 90 on R2 for group 1, so that R1 becomes the active router.","R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# standby 1 priority 110
R1(config-if)# end

R2# configure terminal
R2(config)# interface Ethernet0/0
R2(config-if)# standby 1 priority 90
R2(config-if)# end"
241,Enable HSRP preempt on R1 for group 1 so it reclaims the active role after recovering from a failure.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# standby 1 preempt
R1(config-if)# end"
242,Configure HSRP tracking on R1 for group 1: track Ethernet0/1 and decrement priority by 20 if that interface goes down.,"R1# configure terminal
R1(config)# track 1 interface Ethernet0/1 line-protocol
R1(config)# interface Ethernet0/0
R1(config-if)# standby 1 track 1 decrement 20
R1(config-if)# end"
243,"Configure HSRP on R1 and R2 for group 1 with tracking: R1 has priority 110 and tracks Ethernet0/1 with a decrement of 25, R2 has priority 90 and preempt enabled.","R1# configure terminal
R1(config)# track 1 interface Ethernet0/1 line-protocol
R1(config)# interface Ethernet0/0
R1(config-if)# standby 1 ip 10.0.1.254
R1(config-if)# standby 1 priority 110
R1(config-if)# standby 1 preempt
R1(config-if)# standby 1 track 1 decrement 25
R1(config-if)# end

R2# configure terminal
R2(config)# interface Ethernet0/0
R2(config-if)# standby 1 ip 10.0.1.254
R2(config-if)# standby 1 priority 90
R2(config-if)# standby 1 preempt
R2(config-if)# end"
244,Configure VRRP group 1 on R1's interface facing SW1 with virtual IP 10.0.1.254.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# vrrp 1 ip 10.0.1.254
R1(config-if)# end"
245,Set VRRP priority to 120 on R1 and 100 on R2 for group 1 on the interface toward SW1.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# vrrp 1 priority 120
R1(config-if)# end

R2# configure terminal
R2(config)# interface Ethernet0/0
R2(config-if)# vrrp 1 ip 10.0.1.254
R2(config-if)# vrrp 1 priority 100
R2(config-if)# end"
246,Enable VRRP preempt on R1 for group 1 and configure interface tracking so that priority decrements by 30 if Ethernet0/1 goes down.,"R1# configure terminal
R1(config)# track 2 interface Ethernet0/1 line-protocol
R1(config)# interface Ethernet0/0
R1(config-if)# vrrp 1 ip 10.0.1.254
R1(config-if)# vrrp 1 priority 120
R1(config-if)# vrrp 1 preempt
R1(config-if)# vrrp 1 track 2 decrement 30
R1(config-if)# end"
